"SCHID","Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","MMINS","BELONG","HOMEPOS","ESCS","SC048Q01","SC048Q02","SC048Q03","SC061Q07","CLSIZE","treat","V1","CNTSTUID"
12400003,498.466,1,1,2,1,4,1,1,375,0.5423,-1.3309,-1.4972,14.1100051594891,25,17.8083578779194,2,33,0,1,12409784
12400003,473.75,1,1,2,1,4,5,6,450,0.3602,-0.5441,0.608,14.1088923269604,25,17.7868345568861,2,33,0,1,12413365
12400003,478.787,1,1,2,5,3,6,6,450,-1.2422,0.5967,1.1512,14.1175537368664,25,17.7893305009653,2,33,0,1,12413476
12400003,527.259,1,1,2,4,4,6,6,575,1.5611,-0.6458,0.5706,14.1182698793599,25,17.800623483278,2,33,0,1,12418742
12400003,387.998,2,1,2,1,4,6,6,450,0.3749,-0.7269,-0.327,14.1208887723373,25,17.8031265693564,2,33,0,1,12401365
12400003,628.074,2,1,1,4,4,4,6,300,-0.0523,-0.5745,0.5968,14.1220337383797,25,17.7886665120071,2,33,0,1,12407260
12400003,596.624,2,1,1,4,4,6,6,300,0.7279,-0.1198,0.7442,14.1204117071466,25,17.7887930449707,2,33,0,1,12420616
12400003,684.369,2,1,2,2,4,5,6,225,0.6642,0.1526,1.0294,14.1217365194094,25,17.7938497753487,2,33,0,1,12423661
12400003,347.034,2,1,2,1,1,6,6,420,-1.7081,-1.4486,-0.6336,14.1187698124133,25,17.7893375765962,2,33,0,1,12429256
12400003,459.998,2,1,1,2,4,4,5,360,0.7279,0.6499,-0.0235,14.1042999315744,25,17.7932425094902,2,33,0,1,12430709
12400003,508.118,2,1,2,1,3,5,5,212.849097275798,-0.5021,-0.5122,0.4792,14.1249431606071,25,17.7946828638033,2,33,0,1,12430869
12400003,522.161,1,1,2,1,4,2,2,300,2.5915,-0.3319,-0.9941,14.112631217264,25,17.8044758457512,2,33,0,1,12406205
12400003,571.017,1,1,1,5,4,5,6,450,0.6642,0.7195,0.8864,14.1141871220452,25,17.799182563094,2,33,0,1,12411343
12400003,376.145,1,1,2,1,4,5.00540692801965,4.64117128171251,180,1.398,-0.8291,-0.0735,14.1115889505879,25,17.8034985027552,2,33,0,1,12421245
12400003,298.755,1,1,2,6,1,6,6,306.839831140235,-1.5645,-0.1372,1.1708,14.1181159002184,25,17.781451723125,2,33,0,1,12422610
12400003,518.538,1,1,2,2,3,4,4,300,-0.3381,-0.8726,-1.0934,14.1087880248533,25,17.8039394158458,2,33,0,1,12426300
