"SCHID","Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","MMINS","BELONG","HOMEPOS","ESCS","SC048Q01","SC048Q02","SC048Q03","SC061Q07","CLSIZE","treat","V1","W_FSTUWT","W_FSTURWT1","W_FSTURWT2","W_FSTURWT3","W_FSTURWT4","W_FSTURWT5","W_FSTURWT6","W_FSTURWT7","W_FSTURWT8","W_FSTURWT9","W_FSTURWT10","W_FSTURWT11","W_FSTURWT12","W_FSTURWT13","W_FSTURWT14","W_FSTURWT15","W_FSTURWT16","W_FSTURWT17","W_FSTURWT18","W_FSTURWT19","W_FSTURWT20","W_FSTURWT21","W_FSTURWT22","W_FSTURWT23","W_FSTURWT24","W_FSTURWT25","W_FSTURWT26","W_FSTURWT27","W_FSTURWT28","W_FSTURWT29","W_FSTURWT30","W_FSTURWT31","W_FSTURWT32","W_FSTURWT33","W_FSTURWT34","W_FSTURWT35","W_FSTURWT36","W_FSTURWT37","W_FSTURWT38","W_FSTURWT39","W_FSTURWT40","W_FSTURWT41","W_FSTURWT42","W_FSTURWT43","W_FSTURWT44","W_FSTURWT45","W_FSTURWT46","W_FSTURWT47","W_FSTURWT48","W_FSTURWT49","W_FSTURWT50","W_FSTURWT51","W_FSTURWT52","W_FSTURWT53","W_FSTURWT54","W_FSTURWT55","W_FSTURWT56","W_FSTURWT57","W_FSTURWT58","W_FSTURWT59","W_FSTURWT60","W_FSTURWT61","W_FSTURWT62","W_FSTURWT63","W_FSTURWT64","W_FSTURWT65","W_FSTURWT66","W_FSTURWT67","W_FSTURWT68","W_FSTURWT69","W_FSTURWT70","W_FSTURWT71","W_FSTURWT72","W_FSTURWT73","W_FSTURWT74","W_FSTURWT75","W_FSTURWT76","W_FSTURWT77","W_FSTURWT78","W_FSTURWT79","W_FSTURWT80","PV1MATH","PV2MATH","PV3MATH","PV4MATH","PV5MATH","PV6MATH","PV7MATH","PV8MATH","PV9MATH","PV10MATH","CNTSTUID"
12400016,518.723,1,1,2,3,3,6,6,225,-0.6239,1.069,1.0562,100,25,22.8028664695117,2,28,1,1,27.68709,45.85868,44.44861,40.91527,12.81086,12.87059,13.70998,14.01464,42.24814,12.95388,45.41488,12.44589,44.94483,42.11511,42.99251,45.36258,12.44589,12.75399,45.92189,13.64635,13.01427,13.28541,12.6948,14.33316,44.00848,41.73358,42.58528,45.36258,13.356,41.78169,14.10534,41.78169,13.64635,13.28541,13.01427,12.87059,40.1747,45.85868,12.81086,44.94483,42.99251,13.86303,13.7987,12.61318,44.00848,41.73358,46.37064,45.36258,12.81086,41.78169,13.50511,40.1747,13.07775,13.28541,13.56807,13.41827,41.78169,42.11511,13.356,44.94483,42.99251,43.90725,40.96244,46.37064,12.81086,12.87059,12.61318,14.01464,44.00848,12.95388,47.47919,12.95388,46.94237,42.11511,41.27281,43.47248,11.97623,13.86303,44.00848,13.64635,13.01427,518.723,557.541,471.017,616.756,481.622,438.602,540.657,583.903,621.083,475.925,12402665
12400016,461.359,1,1,1,4,4,6,6,300,2.5915,-0.5023,0.5407,100,25,22.7976672982456,2,28,1,1,27.68709,45.85868,44.44861,40.91527,12.81086,12.87059,13.70998,14.01464,42.24814,12.95388,45.41488,12.44589,44.94483,42.11511,42.99251,45.36258,12.44589,12.75399,45.92189,13.64635,13.01427,13.28541,12.6948,14.33316,44.00848,41.73358,42.58528,45.36258,13.356,41.78169,14.10534,41.78169,13.64635,13.28541,13.01427,12.87059,40.1747,45.85868,12.81086,44.94483,42.99251,13.86303,13.7987,12.61318,44.00848,41.73358,46.37064,45.36258,12.81086,41.78169,13.50511,40.1747,13.07775,13.28541,13.56807,13.41827,41.78169,42.11511,13.356,44.94483,42.99251,43.90725,40.96244,46.37064,12.81086,12.87059,12.61318,14.01464,44.00848,12.95388,47.47919,12.95388,46.94237,42.11511,41.27281,43.47248,11.97623,13.86303,44.00848,13.64635,13.01427,461.359,512.663,506.917,456.035,460.415,520.685,515.778,535.463,477.983,465.305,12410228
12400016,465.207,1,1,2,1,3,6,6,300,-0.0099,-0.3718,0.7333,100,25,22.7878916506108,2,28,1,1,27.68709,45.85868,44.44861,40.91527,12.81086,12.87059,13.70998,14.01464,42.24814,12.95388,45.41488,12.44589,44.94483,42.11511,42.99251,45.36258,12.44589,12.75399,45.92189,13.64635,13.01427,13.28541,12.6948,14.33316,44.00848,41.73358,42.58528,45.36258,13.356,41.78169,14.10534,41.78169,13.64635,13.28541,13.01427,12.87059,40.1747,45.85868,12.81086,44.94483,42.99251,13.86303,13.7987,12.61318,44.00848,41.73358,46.37064,45.36258,12.81086,41.78169,13.50511,40.1747,13.07775,13.28541,13.56807,13.41827,41.78169,42.11511,13.356,44.94483,42.99251,43.90725,40.96244,46.37064,12.81086,12.87059,12.61318,14.01464,44.00848,12.95388,47.47919,12.95388,46.94237,42.11511,41.27281,43.47248,11.97623,13.86303,44.00848,13.64635,13.01427,465.207,441.963,445.05,436.673,449.578,440.629,442.925,436.886,453.486,421.473,12417278
12400016,607.03,1,1,1,3,4,6,6,300,1.0269,-0.1413,0.756,100,25,22.7943249633805,2,28,1,1,27.68709,45.85868,44.44861,40.91527,12.81086,12.87059,13.70998,14.01464,42.24814,12.95388,45.41488,12.44589,44.94483,42.11511,42.99251,45.36258,12.44589,12.75399,45.92189,13.64635,13.01427,13.28541,12.6948,14.33316,44.00848,41.73358,42.58528,45.36258,13.356,41.78169,14.10534,41.78169,13.64635,13.28541,13.01427,12.87059,40.1747,45.85868,12.81086,44.94483,42.99251,13.86303,13.7987,12.61318,44.00848,41.73358,46.37064,45.36258,12.81086,41.78169,13.50511,40.1747,13.07775,13.28541,13.56807,13.41827,41.78169,42.11511,13.356,44.94483,42.99251,43.90725,40.96244,46.37064,12.81086,12.87059,12.61318,14.01464,44.00848,12.95388,47.47919,12.95388,46.94237,42.11511,41.27281,43.47248,11.97623,13.86303,44.00848,13.64635,13.01427,607.03,586.817,601.175,555.185,467.304,549.994,633.955,559.605,625.283,558.561,12430561
12400016,504.359,1,1,2,4,3,6,6,360,0.3791,0.4801,1.0257,100,25,22.797992310813,2,28,1,1,28.90565,50.56187,48.4103,45.11147,13.01649,13.01649,13.86539,14.17351,46.0137,13.1618,49.4627,12.64565,48.95075,46.43437,47.40175,50.01489,12.64565,12.89857,50.01489,13.86539,13.1618,13.43601,12.89857,14.49563,47.93094,46.0137,46.95276,50.01489,13.57038,45.50568,14.33174,45.50568,13.86539,13.43601,13.1618,13.01649,43.75546,50.56187,13.01649,48.95075,47.40175,14.02018,14.02018,12.75616,47.93094,46.0137,51.12634,50.01489,13.01649,45.50568,13.72188,43.75546,13.28766,13.43601,13.72188,13.57038,45.50568,46.43437,13.57038,48.95075,47.40175,48.4103,44.61341,51.12634,13.01649,13.01649,12.75616,14.17351,47.93094,13.1618,51.711,13.1618,51.12634,46.43437,45.50568,47.93094,12.16846,14.02018,47.93094,13.86539,13.1618,504.359,498.794,450.536,567.847,453.966,457.894,478.446,449.847,500.717,521.494,12405744
12400016,515.148,1,1,2,5,3,4,4,300,-0.3381,1.1682,-0.2608,100,25,22.7748986458931,2,28,1,1,28.90565,50.56187,48.4103,45.11147,13.01649,13.01649,13.86539,14.17351,46.0137,13.1618,49.4627,12.64565,48.95075,46.43437,47.40175,50.01489,12.64565,12.89857,50.01489,13.86539,13.1618,13.43601,12.89857,14.49563,47.93094,46.0137,46.95276,50.01489,13.57038,45.50568,14.33174,45.50568,13.86539,13.43601,13.1618,13.01649,43.75546,50.56187,13.01649,48.95075,47.40175,14.02018,14.02018,12.75616,47.93094,46.0137,51.12634,50.01489,13.01649,45.50568,13.72188,43.75546,13.28766,13.43601,13.72188,13.57038,45.50568,46.43437,13.57038,48.95075,47.40175,48.4103,44.61341,51.12634,13.01649,13.01649,12.75616,14.17351,47.93094,13.1618,51.711,13.1618,51.12634,46.43437,45.50568,47.93094,12.16846,14.02018,47.93094,13.86539,13.1618,515.148,550.985,515.544,632.95,593.719,560.162,538.395,547.405,617.615,595.815,12406268
12400016,549.579,1,1,2,2,3,4,5,240,-0.1613,0.1517,0.7439,100,25,22.7877496760716,2,28,1,1,28.90565,50.56187,48.4103,45.11147,13.01649,13.01649,13.86539,14.17351,46.0137,13.1618,49.4627,12.64565,48.95075,46.43437,47.40175,50.01489,12.64565,12.89857,50.01489,13.86539,13.1618,13.43601,12.89857,14.49563,47.93094,46.0137,46.95276,50.01489,13.57038,45.50568,14.33174,45.50568,13.86539,13.43601,13.1618,13.01649,43.75546,50.56187,13.01649,48.95075,47.40175,14.02018,14.02018,12.75616,47.93094,46.0137,51.12634,50.01489,13.01649,45.50568,13.72188,43.75546,13.28766,13.43601,13.72188,13.57038,45.50568,46.43437,13.57038,48.95075,47.40175,48.4103,44.61341,51.12634,13.01649,13.01649,12.75616,14.17351,47.93094,13.1618,51.711,13.1618,51.12634,46.43437,45.50568,47.93094,12.16846,14.02018,47.93094,13.86539,13.1618,549.579,513.163,552.153,558.931,563.808,513.632,503.815,492.223,500.097,542.552,12409471
12400016,548.094,1,1,2,3,4,6,6,300,0.9357,-0.8423,0.7464,100,25,22.7954132168958,2,28,1,1,28.90565,50.56187,48.4103,45.11147,13.01649,13.01649,13.86539,14.17351,46.0137,13.1618,49.4627,12.64565,48.95075,46.43437,47.40175,50.01489,12.64565,12.89857,50.01489,13.86539,13.1618,13.43601,12.89857,14.49563,47.93094,46.0137,46.95276,50.01489,13.57038,45.50568,14.33174,45.50568,13.86539,13.43601,13.1618,13.01649,43.75546,50.56187,13.01649,48.95075,47.40175,14.02018,14.02018,12.75616,47.93094,46.0137,51.12634,50.01489,13.01649,45.50568,13.72188,43.75546,13.28766,13.43601,13.72188,13.57038,45.50568,46.43437,13.57038,48.95075,47.40175,48.4103,44.61341,51.12634,13.01649,13.01649,12.75616,14.17351,47.93094,13.1618,51.711,13.1618,51.12634,46.43437,45.50568,47.93094,12.16846,14.02018,47.93094,13.86539,13.1618,548.094,546.602,606.305,539.581,564.162,506.917,619.595,595.294,572.044,542.209,12412598
12400016,580.299,1,1,1,4,3,6,6,360,0.5311,0.8394,1.2198,100,25,22.8086376772898,2,28,1,1,28.90565,50.56187,48.4103,45.11147,13.01649,13.01649,13.86539,14.17351,46.0137,13.1618,49.4627,12.64565,48.95075,46.43437,47.40175,50.01489,12.64565,12.89857,50.01489,13.86539,13.1618,13.43601,12.89857,14.49563,47.93094,46.0137,46.95276,50.01489,13.57038,45.50568,14.33174,45.50568,13.86539,13.43601,13.1618,13.01649,43.75546,50.56187,13.01649,48.95075,47.40175,14.02018,14.02018,12.75616,47.93094,46.0137,51.12634,50.01489,13.01649,45.50568,13.72188,43.75546,13.28766,13.43601,13.72188,13.57038,45.50568,46.43437,13.57038,48.95075,47.40175,48.4103,44.61341,51.12634,13.01649,13.01649,12.75616,14.17351,47.93094,13.1618,51.711,13.1618,51.12634,46.43437,45.50568,47.93094,12.16846,14.02018,47.93094,13.86539,13.1618,580.299,557.827,600.446,580.727,570.416,553.495,597.14,553.504,590.921,574.592,12416657
12400016,636.027,1,1,1,4,4,6,6,240,0.4597,1.0463,1.3578,100,25,22.7796958496319,2,28,1,1,28.90565,50.56187,48.4103,45.11147,13.01649,13.01649,13.86539,14.17351,46.0137,13.1618,49.4627,12.64565,48.95075,46.43437,47.40175,50.01489,12.64565,12.89857,50.01489,13.86539,13.1618,13.43601,12.89857,14.49563,47.93094,46.0137,46.95276,50.01489,13.57038,45.50568,14.33174,45.50568,13.86539,13.43601,13.1618,13.01649,43.75546,50.56187,13.01649,48.95075,47.40175,14.02018,14.02018,12.75616,47.93094,46.0137,51.12634,50.01489,13.01649,45.50568,13.72188,43.75546,13.28766,13.43601,13.72188,13.57038,45.50568,46.43437,13.57038,48.95075,47.40175,48.4103,44.61341,51.12634,13.01649,13.01649,12.75616,14.17351,47.93094,13.1618,51.711,13.1618,51.12634,46.43437,45.50568,47.93094,12.16846,14.02018,47.93094,13.86539,13.1618,636.027,632.173,689.982,660.289,686.069,648.154,649.76,632.286,659.419,647.061,12424644
