"SC048Q01","RATCMP2","treat","Female","ST013Q01","ST034Q01","BELONG","ST121Q01","ST118Q04","ST011Q06","ST011Q07","MISCED","HISCED","HOMEPOS","ESCS","W_FSTUWT","STRATUM","CNTSTUID","SCHID"
-0.520229403,0.127552831,0,1,1.131029648,1.175637335,0.407285923,1.095547163,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,1.106155292,1.074759604,2.374235943,24,13152,1
-0.520229403,0.127552831,0,0,1.839717038,1.175637335,0.914745539,-0.564163487,-1.625473906,-0.163774303,0.825530246,0.873786663,0.750325924,1.005820998,1.207228664,1.828288271,24,18080,1
-0.520229403,0.127552831,0,1,-0.286345131,0.002042159,0.167738523,-0.564163487,1.692810812,-0.163774303,0.825530246,0.873786663,0.750325924,0.149278645,0.859619135,2.374235943,24,24564,1
-0.520229403,0.127552831,0,0,1.131029648,0.002042159,0.167738523,-0.564163487,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,1.415587899,1.209420248,1.828288271,24,26088,1
-0.520229403,0.127552831,0,0,1.839717038,1.175637335,0.460708,-0.564163487,1.692810812,-0.163774303,0.825530246,0.873786663,0.750325924,1.818055891,1.384625192,1.828288271,24,27415,1
0.433658349,-1.427456004,0,0,-0.286345131,0.002042159,-0.195992654,-0.564163487,1.692810812,-0.163774303,-1.265465085,0.873786663,0.750325924,1.888063733,1.641527506,0.307654551,32,288,5
0.433658349,-1.427456004,0,1,1.131029648,0.002042159,0.24100595,-0.564163487,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,1.277114237,1.451103231,0.303153743,32,11646,5
0.433658349,-1.427456004,0,0,1.131029648,-2.345148191,-2.993986462,-0.564163487,-0.519379,-0.163774303,-1.265465085,0.873786663,0.750325924,2.888836634,1.372693236,0.307654551,32,21300,5
0.433658349,-1.427456004,0,1,0.422342259,-1.171553016,-0.800674436,-0.564163487,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,0.323527239,1.237302063,0.303153743,32,22216,5
-0.777045337,0.127552831,0,0,-0.286345131,1.175637335,1.650627132,1.095547163,-0.519379,-0.163774303,-1.265465085,-0.01000314,-0.28271487,0.837946098,0.887622704,0.925278691,44,13651,6
-0.777045337,0.127552831,0,0,0.422342259,1.175637335,1.172133707,1.095547163,-1.625473906,-0.163774303,0.825530246,0.873786663,0.750325924,0.589063593,1.051017447,0.925278691,44,15074,6
-0.520229403,-0.693472013,0,0,0.422342259,-2.345148191,-2.270433041,-0.564163487,-1.625473906,-0.163774303,-1.265465085,0.873786663,0.750325924,1.370766431,1.240224175,4.968739346,24,8187,11
-0.520229403,-0.693472013,0,1,-0.286345131,0.002042159,-0.525746187,-0.564163487,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,0.217127655,1.191035296,4.113408223,24,8361,11
-0.520229403,-0.693472013,0,1,1.131029648,0.002042159,-0.33070048,-0.564163487,-0.519379,-0.163774303,-1.265465085,0.873786663,0.750325924,0.363517035,1.154021882,4.113408223,24,9497,11
-0.520229403,-0.693472013,0,0,0.422342259,0.002042159,-0.195992654,-0.564163487,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,1.705899421,1.537062015,4.968739346,24,9857,11
-0.520229403,-0.693472013,0,1,1.131029648,-1.171553016,-0.913131416,-0.564163487,1.692810812,-0.163774303,-1.265465085,0.873786663,0.750325924,0.904664292,1.314129248,4.113408223,24,20657,11
0.843969444,0.127552831,0,1,1.131029648,0.002042159,0.167738523,-0.564163487,-0.519379,-0.163774303,0.825530246,0.873786663,0.750325924,0.928617048,1.324600148,0.196213963,4,977,15
0.843969444,0.127552831,0,1,1.131029648,0.002042159,-0.195992654,-0.564163487,-0.519379,-0.163774303,-1.265465085,-0.01000314,0.750325924,0.955756652,1.260922466,0.196213963,4,5427,15
0.843969444,0.127552831,0,0,1.839717038,1.175637335,0.420917072,1.095547163,1.692810812,-0.163774303,-1.265465085,-0.01000314,-0.28271487,2.090788352,1.483246459,0.200972719,4,9537,15
0.843969444,0.127552831,0,1,-0.286345131,1.175637335,2.740317227,-0.564163487,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,1.727179338,1.420542814,0.196213963,4,23098,15
-0.850421318,0.127552831,0,0,0.422342259,-1.171553016,-0.913131416,-0.564163487,0.586715906,-0.163774303,0.825530246,0.873786663,0.750325924,-0.042754614,0.801176902,0.98236664,50,26475,19
-0.850421318,0.127552831,0,1,1.131029648,0.002042159,-0.33070048,-0.564163487,-0.519379,-0.163774303,-1.265465085,-0.01000314,0.750325924,0.186081593,0.900772207,1.151272359,50,26681,19
-0.850421318,0.127552831,0,0,-0.99503252,0.002042159,-0.195992654,-0.564163487,-0.519379,-0.163774303,0.825530246,0.873786663,0.750325924,0.45120674,0.91550452,0.98236664,50,28502,19
0.213530407,0.127552831,0,1,-0.286345131,0.002042159,-0.342026361,-0.564163487,1.692810812,-0.163774303,-1.265465085,-0.01000314,-0.28271487,1.453521664,0.87885637,1.200628953,44,2951,21
0.213530407,0.127552831,0,0,-0.99503252,0.002042159,0.607743998,-0.564163487,1.692810812,-0.163774303,0.825530246,0.873786663,0.750325924,0.777807203,1.258974391,1.142080677,44,5831,21
0.213530407,0.127552831,0,0,0.422342259,1.175637335,0.08063949,-0.564163487,-0.519379,-0.163774303,0.825530246,0.873786663,0.750325924,0.493252566,1.009255601,1.142080677,44,6727,21
