"SC048Q01","RATCMP2","treat","Female","ST013Q01","ST034Q01","BELONG","ST121Q01","ST118Q04","ST011Q06","ST011Q07","MISCED","HISCED","HOMEPOS","ESCS","W_FSTUWT","STRATUM","CNTSTUID","SCHID"
-0.520229403,0.127552831,0,1,-0.286345131,1.175637335,1.080724825,-0.564163487,-0.519379,-0.163774303,-1.265465085,0.873786663,0.750325924,1.35390698,1.30840678,2.374235943,24,8129,1
-0.520229403,0.127552831,0,1,1.131029648,-1.171553016,-1.00644465,-0.564163487,1.692810812,-0.163774303,-1.265465085,0.873786663,0.750325924,1.898755093,1.419812286,2.374235943,24,16241,1
-0.520229403,0.127552831,0,0,0.422342259,0.002042159,-0.195992654,-0.564163487,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,1.738384705,1.400331542,1.828288271,24,19649,1
-0.520229403,0.127552831,0,1,-0.286345131,0.002042159,-0.195992654,1.095547163,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,0.916794872,1.29428324,2.374235943,24,23475,1
-0.777045337,0.127552831,0,1,0.422342259,-2.345148191,-0.796565046,0.006261843,1.692810812,-0.163774303,0.825530246,0.873786663,0.750325924,0.088831345,1.135149911,0.928194624,44,10687,6
-0.777045337,0.127552831,0,1,1.839717038,0.002042159,0.385235535,1.095547163,-0.519379,-0.163774303,0.825530246,0.873786663,0.750325924,0.946298912,1.256782808,0.928194624,44,11395,6
-0.777045337,0.127552831,0,1,1.839717038,0.002042159,-0.807490011,-0.564163487,1.692810812,-0.163774303,-1.265465085,0.873786663,0.750325924,1.846429113,1.447328837,0.928194624,44,23243,6
-0.520229403,-0.693472013,0,0,0.422342259,0.002042159,-0.195992654,-0.564163487,-0.519379,-0.163774303,-1.265465085,0.873786663,0.750325924,1.417335525,1.66307808,4.968739346,24,29490,11
2.378121845,0.127552831,0,1,0.422342259,0.002042159,-0.551204362,-0.564163487,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,1.619546135,1.449155157,0.133632963,46,21359,12
0.843969444,0.127552831,0,0,1.131029648,1.175637335,0.067509486,-0.564163487,-0.519379,-0.163774303,-1.265465085,0.873786663,0.750325924,1.472334344,1.737348417,0.200972719,4,7383,15
