SC048Q01NA,RATCMP2,treat,Female,ST013Q01,ST034Q01,BELONG,ST121Q01,ST118Q04,ST011Q06,ST011Q07,MISCED,HISCED,HOMEPOS,ESCS,W_FSTUWT,STRATUM,CNTSTUID,SCHID
-0.520229403,0.127552831,0,1,-0.286345131,0.002042159,-0.195992654,1.095547163,-1.625473906,-0.163774303,-1.265465085,0.873786663,0.750325924,-0.292767937,-0.215596192,40.22289,24,3587,1
-0.520229403,0.127552831,0,0,-0.99503252,0.002042159,-0.542384207,1.095547163,0.586715906,-0.163774303,0.825530246,0.873786663,0.750325924,-0.904539845,0.37576615,30.97377,24,4373,1
-0.520229403,0.127552831,0,0,0.422342259,1.175637335,0.460708,-0.564163487,-0.519379,-0.163774303,-1.265465085,0.873786663,0.750325924,1.159509286,0.921835761,30.97377,24,5322,1
-0.520229403,0.127552831,0,1,-1.70371991,-1.171553016,-1.000430908,-0.564163487,1.692810812,-0.163774303,0.825530246,-0.893792943,-0.28271487,-0.135892801,-0.240677651,40.22289,24,7456,1
-0.520229403,0.127552831,0,1,-0.99503252,1.175637335,0.603634607,-0.564163487,1.692810812,-0.163774303,0.825530246,-0.01000314,0.750325924,-0.35948613,0.235626546,40.22289,24,7509,1
-0.520229403,0.127552831,0,1,-0.286345131,1.175637335,1.080724825,-0.564163487,-0.519379,-0.163774303,-1.265465085,0.873786663,0.750325924,1.35390698,1.30840678,40.22289,24,8129,1
-0.520229403,0.127552831,0,0,1.839717038,-1.171553016,-0.842369716,1.095547163,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,1.58089276,0.778287027,30.97377,24,9046,1
-0.520229403,0.127552831,0,0,0.422342259,0.002042159,-0.689720892,-0.564163487,-0.519379,-0.163774303,-1.265465085,-0.01000314,-0.28271487,1.387317478,-0.433171755,30.97377,24,9428,1
-0.520229403,0.127552831,0,1,-1.70371991,1.175637335,0.808602989,1.095547163,-0.519379,-0.163774303,0.825530246,-0.01000314,-0.28271487,-1.02841569,-0.453017763,40.22289,24,12183,1
-0.520229403,0.127552831,0,1,1.131029648,1.175637335,0.407285923,1.095547163,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,1.106155292,1.074759604,40.22289,24,13152,1
-0.520229403,0.127552831,0,0,-0.99503252,0.002042159,-0.056072917,-0.564163487,0.586715906,-0.163774303,0.825530246,-0.893792943,-1.315755663,-0.620602018,-1.601407635,30.97377,24,14924,1
-0.520229403,0.127552831,0,1,1.131029648,-1.171553016,-1.00644465,-0.564163487,1.692810812,-0.163774303,-1.265465085,0.873786663,0.750325924,1.898755093,1.419812286,40.22289,24,16241,1
-0.520229403,0.127552831,0,1,-0.286345131,0.002042159,-0.33070048,-0.564163487,-0.519379,-0.163774303,0.825530246,0.873786663,0.750325924,0.337508247,0.362860157,40.22289,24,17566,1
-0.520229403,0.127552831,0,0,-0.005587888,-0.001248465,-0.004103964,0.006261843,-0.001524954,0.00117577,0.003700613,-0.005284341,-0.006515863,-0.001082725,-0.006924403,30.97377,24,17983,1
-0.520229403,0.127552831,0,0,1.839717038,1.175637335,0.914745539,-0.564163487,-1.625473906,-0.163774303,0.825530246,0.873786663,0.750325924,1.005820998,1.207228664,30.97377,24,18080,1
-0.520229403,0.127552831,0,0,-1.70371991,1.175637335,1.172133707,-0.564163487,0.586715906,-0.163774303,0.825530246,-0.01000314,-0.28271487,-0.251955729,0.337778698,30.97377,24,18670,1
-0.520229403,0.127552831,0,0,0.422342259,0.002042159,-0.195992654,-0.564163487,0.586715906,-0.163774303,-1.265465085,-0.893792943,0.750325924,0.719929941,0.806047088,30.97377,24,19351,1
-0.520229403,0.127552831,0,0,0.422342259,0.002042159,-0.195992654,-0.564163487,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,1.738384705,1.400331542,30.97377,24,19649,1
-0.520229403,0.127552831,0,1,1.131029648,1.175637335,2.740317227,-0.564163487,-0.519379,-0.163774303,-1.265465085,0.873786663,0.750325924,0.334424202,0.73883852,40.22289,24,20341,1
-0.520229403,0.127552831,0,0,-0.99503252,1.175637335,0.344843232,1.095547163,-0.519379,-0.163774303,0.825530246,0.873786663,0.750325924,-0.052726363,0.117524534,30.97377,24,21077,1
-0.520229403,0.127552831,0,1,-0.286345131,0.002042159,0.167738523,-0.564163487,-0.519379,-0.163774303,0.825530246,-0.01000314,-0.28271487,-0.730702457,-0.323470814,40.22289,24,21925,1
-0.520229403,0.127552831,0,0,-0.005587888,-0.001248465,-0.004103964,0.006261843,-0.001524954,0.00117577,0.003700613,-0.005284341,-0.006515863,-0.001082725,-0.006924403,30.97377,24,22459,1
-0.520229403,0.127552831,0,0,1.839717038,-2.345148191,-1.05535642,-0.564163487,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,1.51910904,0.147476178,30.97377,24,22921,1
-0.520229403,0.127552831,0,1,-0.286345131,0.002042159,1.212926926,-0.564163487,1.692810812,-0.163774303,0.825530246,-0.01000314,-0.28271487,0.424786747,-0.097250671,40.22289,24,23229,1
-0.520229403,0.127552831,0,1,-0.286345131,0.002042159,-0.195992654,1.095547163,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,0.916794872,1.29428324,40.22289,24,23475,1
-0.520229403,0.127552831,0,1,-0.286345131,0.002042159,0.167738523,-0.564163487,1.692810812,-0.163774303,0.825530246,0.873786663,0.750325924,0.149278645,0.859619135,40.22289,24,24564,1
-0.520229403,0.127552831,0,0,-0.286345131,-1.171553016,-0.727707697,-0.564163487,-0.519379,-0.163774303,0.825530246,-0.01000314,-0.28271487,-0.086034059,0.208718768,30.97377,24,24568,1
-0.520229403,0.127552831,0,1,-0.99503252,-1.171553016,-1.075702915,-0.564163487,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,-0.027745591,0.254133253,40.22289,24,25328,1
-0.520229403,0.127552831,0,0,-0.286345131,-1.171553016,-0.635697441,-0.564163487,0.586715906,-0.163774303,-1.265465085,-0.01000314,0.750325924,0.110111262,0.792167058,30.97377,24,25620,1
