SC048Q01,RATCMP2,treat,Female,ST013Q01,ST034Q01,BELONG,ST121Q01,ST118Q04,ST011Q06,ST011Q07,MISCED,HISCED,HOMEPOS,ESCS,W_FSTUWT,SCHID,STRATUM,CNTSTUID
-.520229403,.127552831,0,0,.422342259,1.175637335,1.707557225,-.564163487,-1.625473906,-.163774303,-1.265465085,.873786663,.750325924,1.752262911,1.506988616,1.197482815,294,44,9368
-.198511850972444,.127552831,0,0,1.131029648,-.838128910122141,-1.183048214,-.564163487,-.519379,-.163774303,.825530246,.873786663,.750325924,-.421475453,-1.049372046,1.197482815,294,44,9549
-.0670457412156357,.127552831,0,1,-.286345131,-.186149343432456,-.33070048,1.095547163,-.519379,-.163774303,.825530246,-.01000314,-.28271487,-.273955257,-.300824448,1.456889298,294,44,11884
-.151167348179421,.127552831,0,1,1.131029648,-.0913971447736414,-.195992654,-.564163487,.586715906,-.163774303,.825530246,-.01000314,-.28271487,.360946996,-.301189712,1.456889298,294,44,12160
-.520229403,.127552831,0,1,-.99503252,-.108479283368924,-.004103964,2.755257812,1.692810812,-.163774303,-1.265465085,-.01000314,.750325924,2.148768415,1.830490725,1.456889298,294,44,12932
-.520229403,.127552831,0,1,-.286345131,-1.4288506160867,-1.68950554,2.755257812,.586715906,-.163774303,-1.265465085,-.893792943,-1.315755663,.516485712,-.477490448,1.456889298,294,44,15615
.0635259604949095,.127552831,0,0,-.286345131,1.175637335,.187984789,-.564163487,.586715906,-.163774303,.825530246,-.01000314,-.28271487,-.51666967,.172192372,1.197482815,294,44,18471
-.520229403,.127552831,0,0,-.286345131,.002042159,-.364678124,-.564163487,-.519379,-.163774303,.825530246,-.893792943,-.28271487,-.245170828,.315497597,1.197482815,294,44,18863
-.0744440643970542,.127552831,0,0,1.131029648,.157903488270983,.248322669,-.564163487,.586715906,-.163774303,.825530246,-.893792943,.750325924,1.010344265,1.183973526,1.197482815,294,44,20558
.0313208274844928,.127552831,0,0,.422342259,-.207771250365596,-.108793391,-.564163487,.586715906,-.163774303,-1.265465085,.873786663,.750325924,.237996366,.923296817,1.197482815,294,44,21439
-.336789451,.127552831,0,1,-1.70371991,-1.57353652550014,-1.956415467,-.564163487,1.692810812,-.163774303,.825530246,-.01000314,-.28271487,-.453343927,-.580129619,.410333173,295,10,1059
-.15938381498166,.127552831,0,1,1.131029648,-.509580256491013,-.676189972,-.564163487,-.519379,-.163774303,.003700613,.873786663,.750325924,1.072025184,1.210881304,.410333173,295,10,1192
-.336789451,.127552831,0,1,-.286345131,-1.171553016,-.155901039,-.564163487,1.692810812,-.163774303,.825530246,.873786663,.750325924,.418721457,.976868864,.410333173,295,10,2084
-.135243251377305,.127552831,0,0,1.839717038,-.571579726284083,-.697338299,-.564163487,1.692810812,-.163774303,-1.265465085,.873786663,.750325924,1.743833186,1.528417435,.355007179,295,10,3614
-.250338997489375,.127552831,0,0,1.839717038,1.37054916957171,1.707557225,2.755257812,-.519379,-.163774303,.825530246,.873786663,.750325924,1.165060569,.464525291,.355007179,295,10,7632
-.336789451,.127552831,0,1,1.131029648,-.161872022296732,-.195992654,1.095547163,.586715906,-.163774303,-1.265465085,-3.545162353,-4.414878045,3.131345444,-.733053461,.410333173,295,10,7964
.00492071880412684,.127552831,0,0,-.286345131,.901575841071945,1.080724825,-.564163487,-1.625473906,-.163774303,.825530246,-.893792943,-1.315755663,-1.0761156,-2.126657202,.392488725,295,10,8964
.00464235757778962,.127552831,0,0,1.839717038,-.302355024083686,-.195992654,-.564163487,-.519379,-.163774303,-1.265465085,-.893792943,.750325924,.547737377,1.234258197,.355007179,295,10,12771
-.13140716095988,.127552831,0,0,.422342259,-.158829291437057,-.195992654,1.095547163,.586715906,-.163774303,.825530246,.873786663,.750325924,.311602262,.65348851,.355007179,295,10,14240
-.0231744567973532,.127552831,0,1,1.839717038,.32231443798926,.749367627,-.564163487,.586715906,-.163774303,-1.265465085,.873786663,.750325924,-.112145647,.720575323,.410333173,295,10,14756
-.336789451,.127552831,0,1,.422342259,.707590309668819,1.080724825,1.095547163,-.519379,-.163774303,-1.265465085,.873786663,.750325924,.423450327,-.656469785,.410333173,295,10,15498
-.336789451,.127552831,0,0,-1.70371991,-.167475994363793,-.195992654,1.095547163,1.692810812,-.163774303,.825530246,-.893792943,-1.315755663,-1.962778801,-2.311359008,.355007179,295,10,15551
-.0956627189564635,.127552831,0,0,-.286345131,.002042159,-.843973381,-.564163487,.586715906,-.163774303,.825530246,-.01000314,-.28271487,-.343449091,-1.110979899,.355007179,295,10,17580
-.336789451,.127552831,0,1,-.99503252,.002042159,-.689720892,-.564163487,1.692810812,-.163774303,.825530246,.873786663,.750325924,.612296739,-.599366854,.410333173,295,10,17599
-.336789451,.127552831,0,1,-.99503252,.002042159,-.195992654,-.564163487,-.519379,-.163774303,.825530246,-.893792943,-1.315755663,.385208158,-1.264269005,.428398972,295,10,18056
-.0643106867306098,.127552831,0,1,1.131029648,.002042159,-.7898497,1.095547163,1.692810812,-.163774303,-1.265465085,-.01000314,-.28271487,.016253464,-.023467352,.410333173,295,10,19349
-.336789451,.127552831,0,0,-1.70371991,-.516355062525761,-1.057962375,-.564163487,-.519379,-.163774303,.825530246,.873786663,.750325924,-.309627388,.458559313,.355007179,295,10,19877
-.023216350563533,.127552831,0,0,-.99503252,1.175637335,.808602989,-.564163487,-.519379,-.163774303,.825530246,-.893792943,-1.315755663,.157297164,-1.137035395,.355007179,295,10,20296
