"SCHID","Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","MMINS","BELONG","HOMEPOS","ESCS","SC048Q01","SC048Q02","SC048Q03","SC061Q07","CLSIZE","treat","V1","CNTSTUID"
84000003,515.481,2,1,2,1,4,4,6,200,0.9357,-1.1648,-0.3826,20,9,45,2,28,0,1,84000862
84000003,471.04,2,1,2,1,2,4,4,225,-0.2511,0.623,-0.5645,20,9,45,2,28,0,1,84000983
84000003,344.809,2,1,1,2,3,6,6,225,0.1313,0.655,1.0301,20,9,45,2,28,0,1,84001423
84000003,483.539,2,1,2,2,4,4,4,225,0.4451,0.8717,0.0849,20,9,45,2,28,0,1,84002787
84000003,479.432,2,1,2,3,4,6,6,187.530431269074,0.7934,-0.281,0.3348,20,9,45,2,28,0,1,84002949
84000003,372.331,2,0.854877756084827,1.201608191263,4,3,4,4,225,-0.66,1.8609,0.779,20,9,45,2,28,0,1,84004037
84000003,558.523,2,1,1,4,3,4,6,225,-0.5753,-0.1464,0.6529,20,9,45,2,28,0,1,84005134
84000003,423.536,2,1,2,2,3,6,6,225,-0.3381,-1.081,-0.5171,20,9,45,2,28,0,1,84006262
84000003,651.564,2,1,2,4,4,4,4,225,0.1985,0.398,0.3447,20,9,45,2,28,0,1,84006703
84000003,436,2,1,1,3,4,2,4,225,-0.0621,0.936,-0.4494,20,9,45,2,28,0,1,84008646
84000003,455.695,2,1,2,3,3,4,4,166.651047952699,0.2947,0.6837,0.3464,20,9,45,2,28,0,1,84009982
84000003,514.983,2,1,1,3,1,6,6,225,-1.1955,-0.3896,0.9355,20,9,45,2,28,0,1,84010299
84000003,575.9,2,1,1,3,2,5,5,225,-0.9414,0.1495,-0.4533,20,9,45,2,28,0,1,84004978
84000003,379.501,2,1,2,1,3,1,1,45,-1.0036,-1.1987,-2.0893,20,9,45,2,28,0,1,84007562
84000003,401.895,2,1,2,5,4,6,6,225,-0.1291,0.1622,0.8903,20,9,45,2,28,0,1,84010770
84000004,460.984,1,1,2,3,3,6,6,90,-0.7577,0.2303,1.0187,48.5012353583797,10,90,1,28,0,1,84000138
84000004,512.399,1,1,1,3,3,4,5,400,-0.3381,-0.4607,-0.6776,48.5004829052386,10,90,1,28,0,1,84000659
84000004,302.917,1,1,2,2.68033443207524,3,4,4,375,-0.526460880968823,0.9409,-0.4683,48.4958054156752,10,90,1,28,0,1,84001304
84000004,444.166,1,1,1,3,3,6,6,500,-0.9727,0.4859,0.596,48.4970060783767,10,90,1,28,0,1,84001495
84000004,416.946,1,1,2,2,2,6,6,325,-0.7244,0.7147,0.928,48.4958020164783,10,90,1,28,0,1,84001916
84000004,330.199,1,1,2,1,3,5,5,0,-0.4725,0.0283,-0.1053,48.496458571938,10,90,1,28,0,1,84003118
84000004,492.152,1,1,2,3,1,6,6,60,-0.5174,0.4937,0.0616,48.5112239976085,10,90,1,28,0,1,84003759
84000004,455.596,1,1,1,3,3,6,6,0,-0.1862,2.4893,1.9315,48.4975657483038,10,90,1,28,0,1,84003816
84000004,374.463,1,1,2,1,3,4,4,85,-0.7346,0.4067,0.3892,48.486290022772,10,90,1,28,0,1,84003989
84000004,385.232,1,1,1,1,2,4,4,0,-0.9585,-0.4682,-0.4903,48.4969175312658,10,90,1,28,0,1,84004856
84000004,429.118,1,1,2,4,3,6,6,30,-0.1491,-0.3181,-0.588,48.4961495702848,10,90,1,28,0,1,84005221
84000004,480.849,1,1,1,5,1,6,6,500,-1.618,0.7771,0.8683,48.5156818412259,10,90,1,28,0,1,84005291
84000004,290.802,1,1,2,4,2,6,6,100,-0.983,0.2502,-0.1519,48.5206717410732,10,90,1,28,0,1,84005293
84000004,372,1,1,2,6,3,2,4,100,-0.3381,-0.5876,-0.4101,48.5125240179719,10,90,1,28,0,1,84006621
84000004,480.534,1,1,2,1,3,6,6,0,-0.5753,-0.2686,0.0708,48.500556579606,10,90,1,28,0,1,84006707
84000004,353.819,1,1,1,2,2,6.08802099079431,6,0,-0.4979,0.4886,0.9896,48.5065226228358,10,90,1,28,0,1,84007438
84000004,418.483,1,1,2,2,2,6,6,450,-0.654,-0.5279,-0.4171,48.5048411228295,10,90,1,28,0,1,84007457
84000004,531.636,1,1,1,3,3,6,6,450,-0.6239,0.0297,0.0566,48.5065976815115,10,90,1,28,0,1,84008473
84000004,459.853,1,1,2,2,3,6.5258728442727,6.12392348062606,0,-0.3381,0.5749,0.568209122274215,48.4941192648246,10,90,1,28,0,1,84009406
84000004,369.182,1,1,2,3,4,4,4,600,2.5915,0.4654,-0.3537,48.4995881832356,10,90,1,28,0,1,84010026
84000004,322.108,1,1,2,2,3,4,4,560,-0.3381,-0.2596,0.1444,48.5132722951432,10,90,1,28,0,1,84010445
84000004,401.456,1,1,1,4,3,6,6,0,-0.5043,1.2547,1.1265,48.5054635440532,10,90,1,28,0,1,84010507
84000004,439.325,2,1,2,1,2,6,6,110,-0.7244,-1.4,-0.6343,48.516990090542,10,90,1,28,0,1,84000009
84000004,332.788,2,1,2,4,3,5,5,0,-0.4725,-0.3292,0.4039,48.5085048815619,10,90,1,28,0,1,84000034
84000004,336.546,2,0.739148719066236,1.32349433208074,2.72541951424208,9,5,5,14.7323009838286,5.05583916572538,0.698220186342851,0.273682394269507,48.4868924114235,10,90,1,28,0,1,84000603
84000004,457.956,2,2,2,6,2,4,4,120,-0.5917,-4.5466,-1.8648,48.5244527496887,10,90,1,28,0,1,84001345
84000004,293.181,2,1,2,1,4,2,4,480,0.75,-0.7636,-1.1154,48.4970719979017,10,90,1,28,0,1,84001577
84000004,431.851,2,2,2,1,3,5,5,277.552025027803,-0.8498,-1.7262,-1.14,48.5054923227764,10,90,1,28,0,1,84001696
84000004,326.315,2,1,2,1,4,4,4,500,-0.828,-0.0429,-0.0033,48.5191189561318,10,90,1,28,0,1,84003043
84000004,392.55,2,1,1,3,4,6,6,0,1.5611,0.862,1.2508,48.4955912694995,10,90,1,28,0,1,84003489
84000004,378.295,2,1,1,6,2,6,6,0,-1.1053,0.6564,0.2247,48.4772932687536,10,90,1,28,0,1,84003739
84000004,396.205,2,1,1.56374725087827,3.27728928831492,3,4,4,531.116084844549,-0.4725,0.3286,-0.4757,48.4795388636754,10,90,1,28,0,1,84004378
84000004,434.819,2,1,2,4,4,4,4,0,0.5531,0.5121,-0.1195,48.4892870893714,10,90,1,28,0,1,84004957
84000004,412.695,2,1,1,1,2,4,6,0,-1.2461,0.3521,-0.1351,48.5084739256652,10,90,1,28,0,1,84007453
84000004,391.659,2,2,1,3,4,4,4,0,0.3171,-1.9211,-1.4168,48.5181690670492,10,90,1,28,0,1,84007628
84000004,499.428,2,1,2,1,4,4,4,525,2.5915,-1.0124,-0.4422,48.4788956822773,10,90,1,28,0,1,84008697
84000004,419.276,2,1,1.7160152983378,3,3,6,6,85,-0.3381,-2.0352,-0.2892,48.5043782688882,10,90,1,28,0,1,84009340
84000004,448.265,2,1,1,1,4,4,4,300,0.8589,-0.1192,-0.8372,48.4908879735022,10,90,1,28,0,1,84009377
84000004,427.995,2,1,1,4,3,6,6,0,-0.4725,1.327,1.6627,48.4868593320546,10,90,1,28,0,1,84010576
84000006,462.782,2,2,1,4,3,4,4,450,-0.5753,-0.4631,-0.9843,7,8,62,3,23,0,1,84001098
84000006,430.401,2,1,2,1,4,6,6,270,1.5043,-0.6003,-0.3404,7,8,62,3,23,0,1,84001845
84000006,395.94,2,1,2,1,3,3.31882935512852,3.48928044072855,600,-0.5753,-1.8063,-1.4082,7,8,62,3,23,0,1,84001890
84000006,550.85,2,1,2,1,4,4,4,360,-1.1006,-1.4454,-1.5726,7,8,62,3,23,0,1,84001933
84000006,578.869,2,1,2,3,2,6,6,660,-0.9585,0.4476,0.1067,7,8,62,3,23,0,1,84002301
84000006,351.474,2,1,2,1,3,2,2,135,-0.082,0.2632,-1.0207,7,8,62,3,23,0,1,84003676
