"V1","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","MMINS","BELONG","HOMEPOS","ESCS","SC048Q01","SC048Q02","SC048Q03","SC061Q07","CLSIZE","treat","Y","CNTSTUID","SCHID"
1,2,1,2,1,2,4,4,225,-0.2511,0.623,-0.5645,20,9,45,2,28,0,471.04,84000983,84000003
1,2,1,1,2,3,6,6,225,0.1313,0.655,1.0301,20,9,45,2,28,0,344.809,84001423,84000003
1,2,1,2,2,4,4,4,225,0.4451,0.8717,0.0849,20,9,45,2,28,0,483.539,84002787,84000003
1,2,1,2,3,4,6,6,NA,0.7934,-0.281,0.3348,20,9,45,2,28,0,479.432,84002949,84000003
1,2,NA,NA,4,3,4,4,225,-0.66,1.8609,0.779,20,9,45,2,28,0,372.331,84004037,84000003
1,2,1,1,4,3,4,6,225,-0.5753,-0.1464,0.6529,20,9,45,2,28,0,558.523,84005134,84000003
1,2,1,2,2,3,6,6,225,-0.3381,-1.081,-0.5171,20,9,45,2,28,0,423.536,84006262,84000003
1,2,1,2,4,4,4,4,225,0.1985,0.398,0.3447,20,9,45,2,28,0,651.564,84006703,84000003
1,2,1,1,3,4,2,4,225,-0.0621,0.936,-0.4494,20,9,45,2,28,0,436,84008646,84000003
1,2,1,2,3,3,4,4,NA,0.2947,0.6837,0.3464,20,9,45,2,28,0,455.695,84009982,84000003
1,2,1,1,3,1,6,6,225,-1.1955,-0.3896,0.9355,20,9,45,2,28,0,514.983,84010299,84000003
1,2,1,1,3,2,5,5,225,-0.9414,0.1495,-0.4533,20,9,45,2,28,0,575.9,84004978,84000003
1,2,1,2,1,3,1,1,45,-1.0036,-1.1987,-2.0893,20,9,45,2,28,0,379.501,84007562,84000003
1,2,1,2,5,4,6,6,225,-0.1291,0.1622,0.8903,20,9,45,2,28,0,401.895,84010770,84000003
1,1,1,2,3,3,6,6,90,-0.7577,0.2303,1.0187,NA,10,90,1,28,0,460.984,84000138,84000004
1,1,1,1,3,3,4,5,400,-0.3381,-0.4607,-0.6776,NA,10,90,1,28,0,512.399,84000659,84000004
1,1,1,2,NA,3,4,4,375,NA,0.9409,-0.4683,NA,10,90,1,28,0,302.917,84001304,84000004
1,1,1,1,3,3,6,6,500,-0.9727,0.4859,0.596,NA,10,90,1,28,0,444.166,84001495,84000004
1,1,1,2,2,2,6,6,325,-0.7244,0.7147,0.928,NA,10,90,1,28,0,416.946,84001916,84000004
1,1,1,2,1,3,5,5,0,-0.4725,0.0283,-0.1053,NA,10,90,1,28,0,330.199,84003118,84000004
