"SCHID","Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","MMINS","BELONG","HOMEPOS","ESCS","SC048Q01","SC048Q02","SC048Q03","SC061Q07","CLSIZE","treat","V1","CNTSTUID"
12400015,455.42,1,1,2,2,2,4,4,200,-1.8909,-0.0547,-0.6482,13.791163426518,20,20,1,33,0,1,12409901
12400015,466.351,1,1,2,5,1,4,4,275,-1.3612,-0.1632,-0.5848,13.7843223877242,20,20,1,33,0,1,12414127
12400015,478.683,1,1,1,5,3,5,5,220,-0.3381,0.5596,0.4805,13.7858509974597,20,20,1,33,0,1,12415672
12400015,405.756,1,1,2,5,3,5,5,240,-0.7577,1.5917,1.1078,13.7884293293688,20,20,1,33,0,1,12416025
12400015,578.482,1,1,2,5,3,6,6,180,-0.082,1.1272,1.3255,13.7830466200507,20,20,1,33,0,1,12418021
12400015,561.914,1,1,2,3,4,6,6,180,2.5915,1.2219,1.009,13.8022415357653,20,20,1,33,0,1,12418209
12400015,405.389,1,1,2,2,3,4,6,200,-0.3381,0.6649,0.701,13.7768024844459,20,20,1,33,0,1,12422653
12400015,499.945,1,1,1,3,4,6,6,180,2.5915,2.1294,1.6525,13.7828270811575,20,20,1,33,0,1,12423098
12400015,541.927,1,1,1,3,3,5,5,420,-0.5753,1.2954,0.7303,13.7725570478615,20,20,1,33,0,1,12423862
12400015,523.565,1,1,1,1,2,4,4,225,-0.5917,0.5907,-0.0391,13.7738342423448,20,20,1,33,0,1,12424160
12400015,490.811,1,1,1,4,3,6,6,180,-0.3381,1.4637,0.726,13.7800459063162,20,20,1,33,0,1,12426447
12400015,530.287,2,1,2,3,2,5,5,220,-0.983,1.2661,0.7402,13.7660785266191,20,20,1,33,0,1,12405133
12400015,554.927,2,1,1,5,1,5,5,220,-0.5856,0.1624,-0.1407,13.7856808782704,20,20,1,33,0,1,12406304
12400015,406.074,2,1,2,1,4,5,5,180,0.75,-1.2287,0.2159,13.7929176752666,20,20,1,33,0,1,12406458
12400015,545.235,2,1,1,5,4,6,6,300,-0.0752,1.8815,1.9127,13.7728246069621,20,20,1,33,0,1,12407383
12400015,470.95,2,1,1,6,4,5,5,385,0.2774,2.4831,1.704,13.7923188982812,20,20,1,33,0,1,12409537
12400015,511.146,2,1,1.58807404747219,3,4,4,4,180,1.0269,0.9445,0.3389,13.7988750216601,20,20,1,33,0,1,12410427
12400015,627.873,2,1,2,2,3,5,5,300,-0.5064,-1.3541,-0.1194,13.7937303369306,20,20,1,33,0,1,12410600
12400015,523.387,2,1,1,3,4,4,4,300,0.3171,0.9131,-0.2925,13.7786194998774,20,20,1,33,0,1,12418243
12400015,644.504,2,1,2,5,1,4,4,240,-3.1297,1.0296,0.2462,13.7898105546468,20,20,1,33,0,1,12418765
12400015,674.625,2,1,2,4,3,5,5,240,-0.1985,0.7889,0.6268,13.7808183012613,20,20,1,33,0,1,12419721
12400015,477.579,2,1,2,1,4,4,6,220,-0.0621,0.7362,1.0591,13.7887376943647,20,20,1,33,0,1,12420317
12400015,539.997,2,1,2,3,3,5,5,220,-0.5064,0.9043,0.0699,13.8017764599548,20,20,1,33,0,1,12420922
12400015,389.206,2,1,2,1,2,6,6,240,-1.072,-1.078,0.4738,13.7848936053889,20,20,1,33,0,1,12423136
12400015,546.11,2,1,1,2,1,5,5,180,-2.4078,0.9057,0.5664,13.7785451568781,20,20,1,33,0,1,12424472
12400015,437.576,2,1,1,4,3,6,6,240,-0.3381,1.704,0.649,13.7982741315896,20,20,1,33,0,1,12425765
12400015,561.26,2,1,2,2,4,6,6,216.467499437363,2.5915,1.6885,1.2838,13.7753133783879,20,20,1,33,0,1,12426688
12400017,556.063,2,1,2,3,4,6,6,300,0.3171,-0.0917,0.4023,8,6,18,2,23,0,1,12403021
12400017,445.179,2,1,1,4,4,6,6,300,2.5915,2.5474,1.5168,8,6,18,2,23,0,1,12402026
12400017,464.66,2,1,1,3,1,6,6,300,-2.853,1.246,1.0358,8,6,18,2,23,0,1,12403548
12400017,530.55,2,1,2,5,2,5,5,300,-0.9638,-0.3661,0.037,8,6,18,2,23,0,1,12406621
12400017,476.194,2,1,2,1,3,4,4,300,-0.3381,-1.4397,-0.9092,8,6,18,2,23,0,1,12406864
12400017,530.629,2,1,2,3,4,6,6,325,2.5915,0.9508,1.0954,8,6,18,2,23,0,1,12408561
12400017,428.384,2,1,2,4,2,6,6,300,-0.6981,-0.9302,-0.5051,8,6,18,2,23,0,1,12408942
12400017,487.533,2,1,2.0134083948806,2,4,4,4,300,0.3171,-0.1013,0.0786,8,6,18,2,23,0,1,12412152
12400017,428.717,2,1,2,1,2,4,6,90,-0.9388,-0.8666,-0.4817,8,6,18,2,23,0,1,12413572
12400017,545.977,2,1,2,1,3,4,4,275,0.2947,-1.1143,-1.2029,8,6,18,2,23,0,1,12414370
12400017,593.214,2,1,1,6,4,6,6,300,2.5915,1.021,0.5013,8,6,18,2,23,0,1,12415047
12400017,428.101,2,2,2,1,2,6,6,300,-0.983,-0.2877,-0.2276,8,6,18,2,23,0,1,12415051
12400017,591.383,2,1,1,4,3,4.21661762001839,4.29955149828112,300,-0.1985,1.7297,1.0987,8,6,18,2,23,0,1,12415571
12400017,431.743,2,1,2,3,3,6,6,275,-0.5753,-1.3573,-0.6,8,6,18,2,23,0,1,12415905
12400017,348.486,2,1,2,2,4,4,6,0,2.5915,-1.3746,-0.2758,8,6,18,2,23,0,1,12416193
12400017,494.208,2,1,2,3,2,5,5,300,0.1854,1.0828,1.0861,8,6,18,2,23,0,1,12420608
